Length,Method,Time
6100,CQ (XB),222.42804837226868
6100,CQ (Silhouette),222.55620050430298
6100,CQ (Hubert),222.50574159622192
6100,CQ (STD),222.43150520324707
6100,CQ (R2),222.43350958824158
6100,CQ (CH),222.4338595867157
6100,CQ (I-Index),222.4281346797943
6100,CQ (DB),222.44437456130981
6100,CQ (SD),222.64448976516724
6100,CQ (Dunn),222.54412841796875
6100,Synthetic (sim. cutoff),24.52046847343445
6100,Synthetic (sim. speedup),25.266605138778687
6100,Synthetic (sim. contextual),25.687264680862427
6100,Synthetic (sim. spikes),23.911218482930208
6100,Synthetic (sim. scale),27.074038479201001
6100,Synthetic (sim. noise),25.035642385482788
6100,Synthetic (orig. cutoff),32.92998743057251
6100,Synthetic (orig. speedup),56.23264026641846
6100,Synthetic (orig. contextual),28.679075241088867
6100,Synthetic (orig. spikes),28.679075241088867
6100,Synthetic (orig. scale),53.42872881889343
6100,Synthetic (orig. noise),28.679075241088867
6100,MC (1N),223.27566695213318
6100,MC (3N),223.28520846366882
6100,MC (5N),223.27021646499634
6100,CLF (ID),0.1763458251953125
6100,CLF (OOD),0.1763467788696289
6100,UReg (ID),0.19634461402893066
6100,UReg (OOD),0.19634556770324707
6100,CFact (ID),0.3583524227142334
6100,CFact (OOD),0.3583528995513916
6100,Metaod (ID),9.338506937026978
6100,Metaod (OOD),9.338508129119873
6100,ISAC (ID),0.5588552951812744
6100,ISAC (OOD),0.5588564872741699
6100,kNN (ID),0.8108658790588379
6100,kNN (OOD),0.8108677864074707
6100,UG (ID),0.1819438934326172
6100,UG (OOD),0.1819455623626709
